TCP,document_id,estc_id,tcp_author,ecco_author,tcp_title,ecco_title,tcp_year,ecco_year,tcp_pages,ecco_pages,tcp_volume_number,tcp_total_volumes,ecco_volume_number,ecco_total_volumes,author_score,title_score,year_score,pages_score,match_score,volume_match_found,correct
K001204.000,99006000,N001855,"Francis, Philip, Sir, 1740-1818.","Francis, Philip, Sir","House of Commons, Tuesday, 11th December, 1787. Mr. Francis. Mr. Speaker, before I offer any thing to the consideration of the House","House of Commons, Tuesday, 11th December, 1787. Mr. Francis. Mr. Speaker, before I offer any thing to the consideration of the House ...",1787,1787,7,7,1,1,1,1,100,100,100,100,100,TRUE,Y
K001919.000,493500600,N002977,"Hales, Charles, surgeon.","Hales, Charles, surgeon","The cure of the miliary fever: To which is annexed, advice to the apothecaries. By Charles Hales, surgeon.","The cure of the miliary fever. To which is annex'd, advice to the apothecaries. By Charles Hales, surgeon.",1754,1754,89,89,1,1,1,1,100,100,100,100,100,TRUE,Y
K004747.000,307600400,N008053,"Smith, Hugh, 1736?-1789.","Smith, Hugh","The family physician: being a collection of useful family remedies. Together with plain and full directions for administering them, and properly nursing the sick, where the advice of a physician is difficult to be procured. ... By Hugh Smith, ...","The family physician: being a collection of useful family remedies. Together with plain and full directions for administering them, and properly nursing the sick, where the advice of a physician is difficult to be procured. To which is added, A Short Account of those Cases in which Bleeding and Blisters are really serviceable. By Hugh Smith, Apothecary, At the Chymical Warehouse, the upper End of Cheapside, leading into Newgate-Street, London: Where The Medicines herein recommended, are faithfully prepared in Boxes, convenient for Families to take into the Country, and for those who use the Sea to take on Shipboard.",1761,1761,39,39,1,1,1,1,100,100,100,100,100,TRUE,Y
K004797.000,648300600,N008120,"Governor, of Addenbrooke's Hospital.","Governor, of Addenbrooke's Hospital",Explanatory remarks on the great utility of hospitals for the sick and poor: By a governor of Addenbrooke's Hospital.,Explanatory remarks on the great utility of hospitals for the sick and poor. By a governor of Addenbrooke's Hospital.,1776,1776,17,17,1,1,1,1,100,100,100,100,100,TRUE,Y
K005366.000,492400100,N009211,"Thomson, Alexander, M.D.","Thomson, Alexander, M.D.","An enquiry into the nature, causes, and method of cure, of nervous disorders: In a letter to a friend. By Alex. Thomson, M.D.","An enquiry into the nature, causes, and method of cure, of nervous disorders. In a letter to a friend. By Alex. Thomson, M.D.",1781,1781,36,36,1,1,1,1,100,100,100,100,100,TRUE,Y
K005472.000,108801200,N009405,"Hazlitt, William, 1737-1820.","Hazlitt, William","Human authority, in matters of faith, repugnant to Christianity: illustrated in two discourses on Matthew. xxiii. 8. With a prefatory address, ... By the author of An essay on the justice of God.","Human authority, in matters of faith, repugnant to Christianity: illustrated in two discourses on Matth. xxiii. 8. With a prefatory address, Explaining The Particular Occasion Of Offering Them To The Public. By the author of An essay on the justice of God.",1774,1774,79,79,1,1,1,1,100,100,100,100,100,TRUE,Y
K005913.000,167000200,N010160,"Flower, Henry.","Flower, Henry","Observations on the gout and rheumatism: Exhibiting instances of persons who were greatly relieved in the fit of the gout; ... by medicines discovered in America. With a short account of some medicines, and ways of curing diseases, used by the native Indians. To which are added, a few remarkable cases ... By Henry Flower, an American.","Observations on the gout and rheumatism. Exhibiting instances of persons who were greatly relieved in the fit of the gout; and of others who were cured of the Gout in the Head, Stomach, and Bowels; of obstinate Rheumatisms; and of the Swellings, Stiffness, and Contractions of the Limbs, after irregular or long-continued Fits of the Gout: by medicines discovered in America. With a short account of some medicines, and ways of curing diseases, used by the native Indians. To which are added, a few remarkable cases of other Diseases. Humbly Inscribed to the College of Physicians By Henry Flower, an American. New Things do I declare: before they spring forth. I tell you of them. Isaiah.",1766,1766,33,33,1,1,1,1,100,100,100,100,100,TRUE,Y
K006014.000,149202200,N010277,"Lloyd, Robert, 1733-1764.","LLoyd, Robert","The new-river head: A tale. Attempted in the manner of Mr. C. Denis. And inscribed to John Wilkes, Esquire. By Robert Lloyd.","The new-River head. A tale. Attempted in the manner of Mr. C. Denis. And inscribed to John Wilkes, Esq. By Robert Lloyd.",1763,1763,21,21,1,1,1,1,100,100,100,100,100,TRUE,Y
K006075.000,129401900,N010350,"Surgeons Hospital (Edinburgh, Scotland)","Surgeons Hospital (Edinburgh, Scotland)",Memorial concerning the Surgeons Hospital,Memorial concerning the Surgeons Hospital.,1737,1737,14,14,1,1,1,1,100,100,100,100,100,TRUE,Y
K008041.000,1234602500,N013021,"Reed, Joseph, 1723-1787.","Reed, Joseph",The register-office: a farce of two acts. Acted at the Theater Royal in Drury Lane. By J. Reed.,The register-Office: a farce of two acts. Acted at the Theatre-Royal in Drury-Lane. By J. Reed.,1761,1761,42,42,1,1,1,1,100,100,100,100,100,TRUE,Y
K008702.000,148800900,N014039,"Tolver, A.","Tolver, A.","A treatise on the teeth: Wherein the true causes of the several disorders to which they are liable, are considered; and the precautions necessary to their preservation particularly pointed out. ... By A. Tolver, ...","A treatise on the teeth. Wherein the true causes of the several disorders to which they are liable, are considered; and the precautions necessary to their preservation particularly pointed out. together with Observations on the Practice of Scaling the Teeth: On the Use of Dentrific Powders in general: And on the Diseases of Children in the Time of Toothing. By A. Tolver, Surgeon.",1752,1752,52,52,1,1,1,1,100,100,100,100,100,TRUE,Y
K011382.000,1196701000,N019051,"King, Thomas, 1730-1805.","King, Thomas",Love at first sight: a ballad farce: of two acts. As performed at the Theater Royal in Drury Lane.,"Love at first sight: a ballad farce, of two acts. As performed at the Theatre-Royal in Drury-Lane.",1763,1763,33,33,1,1,1,1,100,100,100,100,100,TRUE,Y
K011766.000,492501400,N019800,Philanthropos.,Philanthropos,"Mr. Ward's practice of physic, as it relates to the public, impartially considered. In a letter to Thomas Carew,","Mr. Ward's practice of physick, as it relates to the publick, impartially considered. In a letter to Thomas Carew, Esq; Member of Parliament.",1741,1741,22,22,1,1,1,1,100,100,100,100,100,TRUE,Y
K011906.000,492801400,N020119,"Wall, J.","Wall, J.","Plain directions, &c. for the cure of the venereal disease: ... Sufficient to enable persons to cure themselves, ... Designed, chiefly to rescue the poor, ... from the destructive hands of unskillful apothecaries and quack-doctors. By J. Wall, surgeon.","Plain directions, &c. for the cure of the venereal disease. Together With Efficacious and approved Remedies, adapted to every Symptom of that Disorder. Sufficient to enable persons to cure themselves, (even in the worst, and most obstinate Cases) without the Assistance of a Surgeon. Designed, chiefly to rescue the poor, and People of small Fortunes from the destructive hands of unskillful apothecaries and quack-doctors. By J. Wall, surgeon.",1764,1764,50,50,1,1,1,1,100,100,100,100,100,TRUE,Y
K013110.000,307900700,N022508,"Blane, Gilbert, Sir, 1749-1834.","Blane, Gilbert, Sir",A short account of the most effectual means of preserving the health of seamen,A short account of the most effectual means of preserving the health of seamen.,1780,1780,27,27,1,1,1,1,100,100,100,100,100,TRUE,Y
K013193.000,492000400,N022683,"Norris, Thomas, fl. 1780.","Norris, Thomas           1780           fl. 1780","A short essay on the virtues of Dr. Norris's antimonial drops. The second edition. To which is added, a catalogue of cures, incontestibly proving their sovereign efficacy in fevers; Short essay on the singular virtues of an highly exalted preparation of antimony","A short essay on the virtues of Dr. Norris's antimonial drops. The second edition. To which is added, a catalogue of cures, incontestibly proving their sovereign efficacy in fevers.",1775,1775,32,32,1,1,1,1,100,100,100,100,100,TRUE,Y
K016142.000,1245100500,N031403,"Smith, Hugh, 1736?-1789.","Smith, Hugh","The family physician: being a collection of useful family remedies. Together with plain and full directions for administering them, and properly nursing the sick, where the advice of a physician is difficult to be procured. ... By Hugh Smith, ...","The family physician: being a collection of useful family remedies. Together with plain and full directions for administering them, and properly nursing the sick, where the advice of a physician is difficult to be procured. Also Some Useful Observations upon Diet. And A Short Account of those Cases in which Bleeding and Blisters are really serviceable. By Hugh Smith, Apothecary. considerably enlarged, and interleaved for the Benefit of the Readers own Remarks.",1772,1772,54,54,1,1,1,1,100,100,100,100,100,TRUE,Y
K019941.000,310900400,T000221,"Lloyd, Robert, 1733-1764.","Lloyd, Robert","An epistle to C. Churchill, author of The rosciad. By R. Lloyd, M.A","An epistle to C. Churchill, Author of the rosciad. By R. Lloyd, M.A.",1761,1761,17,17,1,1,1,1,100,100,100,100,100,TRUE,Y
K021346.000,143800500,T002254,"Francis, Philip, Sir, 1740-1818.","Francis, Philip, Sir","A state of the British authority in Bengal under the government of Mr. Hastings. Exemplified in his conduct in the case of Mahomed Reza Khan. With a debate upon a letter from Mobareck Ul Dowlah, Nabob of Bengal. From authentic documents","A state of the British authority in Bengal under the government of Mr. Hastings. Exemplified in his conduct in the case of Mahomed Reza Khan. With a Debate upon a letter from Mobareck ul Dowlah, Nabob of Bengal. From authentic Documents.",1780,1780,56,56,1,1,1,1,100,100,100,100,100,TRUE,Y
K022018.000,691600900,T003265,"Francis, Philip, Sir, 1740-1818.","Francis, Philip, Sir","Speech in the House of Commons, on Tuesday the 7th of March, 1786. By Philip Francis, Esquire","Speech in the House of Commons, on Tuesday the 7th of March, 1786. By Philip Francis, Esq.",1786,1786,86,86,1,1,1,1,100,100,100,100,100,TRUE,Y
K022229.000,146300700,T004173,"Dodington, George Bubb, Baron of Melcombe Regis, 1691-1762.","Dodington, George Bubb, Baron of Melcombe Regis","A poetical epistle from the late Lord Melcombe to the Earl of Bute: with corrections, by the author of the Night thoughts","A poetical epistle from the late Lord Melcombe to the Earl of Bute: with corrections, By the Author of the Night thoughts.",1776,1776,26,26,1,1,1,1,100,100,100,100,100,TRUE,Y
K023596.000,580600800,T006465,"Bischoff, Frederick.","Bischoff, Frederick","A treatise on the extraction of the cataract. By Frederick Bischoff,","A treatise on the extraction of the cataract. By Frederick Bischoff, F.M.S. oculist to his Majesty in the Electorate of Hanover, and to her Majesty in England.",1793,1793,90,90,1,1,1,1,100,100,100,100,100,TRUE,Y
K023735.000,279301000,T006669,"Jackson, Rowland, 1720-1784.","Jackson, Rowland","A physical dissertation on drowning: in which submersion, commonly called drowning, is shown to be a long time consistent with the continuance of life, from a variety of unexceptionable though surprising facts, ... To which is subjoined, the proper measures for recovery and relief; ... by a physician.","A physical dissertation on drowning: in which submersion, commonly call'd drowning, is shewn to be a long time consistent with the continuance of life, from a variety of unexceptionable tho' surprising facts, related by the most eminent and judicious Authors, and confirm'd by incontestable Evidence; which Facts are reconcil'd and accounted for, from the strictest Laws of the Animal Oeconomy. To which is subjoined, the proper measures for recovery and relief; the Obligations we lie under to practise them are clearly suggested, and strongly enforc'd; intended for the Good of Mankind, by restoring Life to many Persons, who are erroneously supposed to be irretrievably drowned. Recommended particularly, to the Consideration of the Surgeons of the Navy and Army, who have frequent Opportunities of practising the Methods recommended. With an Appendix, containing some Methods for the Recovery of those who hang themselves, and of Children supposed to be born dead. by a physician.",1746,1746,82,82,1,1,1,1,100,100,100,100,100,TRUE,Y
K023951.000,142604000,T007635,"Society of Apothecaries, London.","Society of Apothecaries, London",The case of the apothecaries,The case of the apothecaries.,1732,1732,4,4,1,1,1,1,100,100,100,100,100,TRUE,Y
K024533.000,661100900,T009372,"Merande, D.","Merande, D.","A succinct account of a machine, newly invented for the cure of praeternatural curvatures of the spine: together with a detail of several cases, in which this machine has been tried with great success. By D. Merande, M.D","A succinct account of a machine, Newly invented for the cure of praeternatural curvatures of the spine: Together with a Detail of several Cases, in which this machine has been tried with great Success. By D. Merande, M. D.",1768,1768,23,23,1,1,1,1,100,100,100,100,100,TRUE,Y
K025723.000,1102902400,T011613,"Berkeley, George, 1733-1795.","Berkeley, George","An inquiry into the origin of episcopacy, in a discourse preached in June, 1790. By a dignitary of the Church of England","An inquiry into the origin of episcopacy, in a discourse preached in June, 1790. By a dignitary of the Church of England.",1791,1791,46,46,1,1,1,1,100,100,100,100,100,TRUE,Y
K027597.000,161901800,T014677,"Webster, Charles, 1750-1795.","Webster, Charles","Facts, tending to show the connection of the stomach with life, disease, and recovery","Facts, tending to show the connection of the stomach with life, disease, and recovery.",1793,1793,62,62,1,1,1,1,100,100,100,100,100,TRUE,Y
K029169.000,682000800,T018353,Apothecary.,Apothecary,"Reasons: why the apothecary may be supposed to understand the administration of medicines in the cure of diseases, as well as the physician. In a letter from an apothecary to a physician","Reasons: why the apothecary may be suppos'd to understand the administration of medicines in the cure of diseases, as well as the physician. In a Letter from an apothecary to a physician.",1704,1704,22,22,1,1,1,1,100,100,100,100,100,TRUE,Y
K029653.000,1034500500,T019078,"Lloyd, Robert, 1733-1764.","Lloyd, Robert","The actor: A poetical epistle to Bonnell Thornton, Esquire.","The actor. A poetical epistle to Bonnell Thornton, Esq.",1760,1760,22,22,1,1,1,1,100,100,100,100,100,TRUE,Y
K029870.000,135203300,T020153,"Barbers' Company (London, England)","Barbers' Company (London, England)",The case of the barbers of London,The case of the barbers of London.,1745,1745,4,4,1,1,1,1,100,100,100,100,100,TRUE,Y
K031010.000,608200300,T022351,"Lloyd, Robert, 1733-1764.","Lloyd, Robert","Arcadia; or, the shepherd's wedding: A dramatic pastoral. As it is performed at the Theater Royal in Drury Lane. The music composed by Mr. Stanley.","Arcadia; or, the shepherd's wedding. A dramatic pastoral. As it is performed at the Theatre-Royal in Drury-Lane. The music composed by Mr. Stanley.",1761,1761,17,17,1,1,1,1,100,100,100,100,100,TRUE,Y
K032808.000,218202800,T027547,"Chapman, Edmund, 1680?-1756.","Chapman, Edmund","A reply to Mr. Douglass's Short account of the state of midwifery in London and Westminster. Wherein his trifling and malicious cavils are answered, ... By Edmund Chapman,","A reply to Mr. Douglass's Short account of the state of midwifery in London and Westminster. Wherein His trifling and malicious Cavils are answer'd, his Interestedness and Disingenuity impartially represented, and the Practice of Physick, but particularly the Character of the late Dr. Chamberlen, vindicated from his indecent and unjust Aspersions. By Edmund Chapman, Surgeon and Man-Midwife, in Orange-Street, near Red Lion-Square.",1737,1737,67,67,1,1,1,1,100,100,100,100,100,TRUE,Y
K033266.000,202601400,T028440,"Spilsbury, Francis.","Spilsbury, Francis","Advice to those who are afflicted with the venereal disease: Containing the symptoms at large, with practical notes, and advice to them while under cure. Also, methods of preventing any future infection, in either sex. By F. B. Spilsbury, ...","Advice to those who are afflicted with the venereal disease. Containing the symptoms at large, with practical notes, and advice to them while under cure. Also, methods of preventing any future infection, in either sex. By F. B. Spilsbury, Man-Midwife, Wardour Street, Soho.",1789,1789,31,31,1,1,1,1,100,100,100,100,100,TRUE,Y
K035247.000,1147601400,T032010,"Pringle, John, Sir, 1707-1782.","Pringle, John, Sir","A discourse upon some late improvements of the means for preserving the health of mariners. Delivered at the anniversary meeting of the Royal Society, November 30, 1776. By Sir John Pringle, Baronet, President. Published by their order","A discourse upon some late improvements of the means for preserving the health of mariners. Delivered at the Anniversary Meeting of the Royal Society, November 30, 1776. By Sir John Pringle, Baronet, President. Published by their order.",1776,1776,44,44,1,1,1,1,100,100,100,100,100,TRUE,Y
K036039.000,377901900,T033308,"Threlfal, William.","Threlfal, William","Essay on epilepsy. In which a new theory of that disease is attempted, from which the proximate cause is investigated, and indications brought from thence; showing clearly the consistency of the method of cure. By W. Threlfal,","Essay on epilepsy. In which a new Theory of that Disease is attempted, from which the proximate Cause is investigated, and Indications brought from thence; shewing clearly the Consistency of the Method of Cure. By W. Threlfal, M. D.",1772,1772,32,32,1,1,1,1,100,100,100,100,100,TRUE,Y
K036444.000,191202500,T034003,"Cunningham, John, 1729-1773.","Cunningham, John","Content, a pastoral song: By the late Mr. Cunningham.","Content, a pastoral song. By the late Mr. Cunningham.",1785,1785,1,1,1,1,1,1,100,100,100,100,100,TRUE,Y
K039224.000,811400300,T038638,"Cunningham, John, 1729-1773.","Cunningham, John","Love in a mist: A farce now acting at the City-Theatre in Dublin, with great applause.","Love in a mist. A farce now acting at the City-Theatre in Dublin, with great applause.",1747,1747,37,37,1,1,1,1,100,100,100,100,100,TRUE,Y
K041419.000,10503100,T042339,"Guiton, Mademoiselle (Marie)","Guiton, Mademoiselle (Marie)","Plain and familiar instructions on ruptures, designed for the use of the female sex: in which are given distinct notions of these maladies, and the most proper means of curing them: together with accurate rules and directions on the use and application of trusses. By Mademoiselle Guiton,","Plain and familiar instructions on ruptures, Designed for the Use of the female sex: In which are given distinct notions of these maladies, and The most proper Means of curing them: Together with Accurate Rules and Directions on the Use and Application of trusses. By Mademoiselle Guiton, Surgeon of Paris.",1750,1750,57,57,1,1,1,1,100,100,100,100,100,TRUE,Y
K041555.000,96301600,T042593,"Donaldson, J. (John), 1737-1801.","Donaldson, J. (John)","Poems by J. Donaldson, author of The elements of beauty","Poems by J. Donaldson, Author of the elements of beauty.",1784,1784,24,24,1,1,1,1,100,100,100,100,100,TRUE,Y
K042690.000,453300600,T044499,"Francis, Philip, Sir, 1740-1818.","Francis, Philip, Sir","Proceedings in the House of Commons on the slave trade, and state of the negroes in the West India islands. With an appendix. By Philip Francis, Esquire","Proceedings in the House of Commons on the slave trade, and state of the negroes in the West India islands. With an appendix. By Philip Francis, Esq.",1796,1796,107,107,1,1,1,1,100,100,100,100,100,TRUE,Y
K043302.000,1006700600,T045716,General Infirmary at Leeds.,General Infirmary at Leeds,Rules and orders of the General Infirmary at Leeds,Rules and orders of the General Infirmary at Leeds.,1771,1771,30,30,1,1,1,1,100,100,100,100,100,TRUE,Y
K043382.000,510901800,T045821,Physician.,Physician,"A treatise of diseases of the head, brain, and nerves: More especially of the palsy, apoplexy, ... To which is subjoined, A discourse of the nature, real cause and certain cure of melancholy in men, and vapors in women: ... By a physician.","A treatise of diseases of the head, brain, and nerves. More especially of the palsy, apoplexy, Lethargy, Epilepsy, Convulsions, Frenzy, Vertigo, Megrim, inveterate Head-Ach, &c. with Directions for their Thorough Cure; and how these and many other deplorable Nervous Distempers, may be Prevented as well as Cured, and consequently many Lives saved, by the Medicines herein, in English, prescrib'd without the least Reserve. To which is subjoin'd, A discourse of the nature, real cause and certain cure of melancholly in men, and vapours in women: Instructing Persons how to Cure themselves absolutely of these perplexing and pernicious Disorders, with Safety, Ease, and Expedition. By a physician.",1721,1721,80,80,1,1,1,1,100,100,100,100,100,TRUE,Y
K043952.000,578900500,T046678,"Clive, Mrs. (Catherine), 1711-1785.","Clive, Mrs. (Catherine)","The rehearsal: or, bays in petticoats: A comedy in two acts. As it is performed at the Theater Royal in Drury Lane. Written by Mrs. Clive. The music composed by Dr. Boyce.","The rehearsal: or, bays in petticoats. A comedy in two acts. As it is performed at the Theatre Royal in Drury-Lane. Written by Mrs. Clive. The music composed by Dr. Boyce.",1753,1753,35,35,1,1,1,1,100,100,100,100,100,TRUE,Y
K044098.000,143402600,T046885,"Dampier, Henry.","Dampier, Henry",Remarks upon the eighth section of the second volume of Mr. Warton's History of English poetry,Remarks upon the eighth section of the second volume of Mr. Warton's History of English poetry.,1779,1779,47,47,1,1,1,1,100,100,100,100,100,TRUE,Y
K044903.000,311300200,T048008,"Lloyd, Robert.","Lloyd, Robert",[Shakespeare: an epistle to Mr. Garrick; with an ode to genius.],[Shakespeare: an epistle to Mr. Garrick; with an ode to genius.],1760,1760,9,9,1,1,1,1,100,100,100,100,100,TRUE,Y
K047491.000,1780701400,T052617,"King, Thomas, 1730-1805.","King, Thomas","Wit's last stake. A farce: As it is performed at the Theater Royal, Drury Lane.","Wit's last stake. A farce. As it is performed at the Theatre Royal, Drury Lane.",1769,1769,34,34,1,1,1,1,100,100,100,100,100,TRUE,Y
K050477.000,398000400,T057192,"Arbuthnot, John, of Mitcham.","Arbuthnot, John, of Mitcham","An inquiry into the connection between the present price of provisions, and the size of farms. With remarks on population as affected thereby. ... By a farmer","An inquiry into the connection between the present price of provisions, and the size of farms. With remarks on population as affected thereby. To which are added, proposals for preventing future scarcity. By a Farmer.",1773,1773,150,150,1,1,1,1,100,100,100,100,100,TRUE,Y
K051025.000,162001600,T058008,"Shaw, Peter, 1694-1763.","Shaw, Peter","A treatise of incurable diseases: containing I. An essay on the proper means to reduce the number of incurables. II. An attempt to settle a just notion of incurable in physic. III. A specimen of a rational method to discover the cures of reputed incurable diseases. By P. Shaw, M.D","A treatise of incurable diseases: containing I. An essay on the Proper Means to reduce the Number of Incurables. II. An attempt to settle a just Notion of Incurable in Physick. III. A specimen of a Rational Method to discover the Cures of reputed Incurable Diseases. By P. Shaw, M. D.",1723,1723,42,42,1,1,1,1,100,100,100,100,100,TRUE,Y
K056081.000,633700300,T065130,"Hazlitt, William, 1737-1820.","Hazlitt, William",An essay on the justice of God,An essay on the justice of God.,1773,1773,32,32,1,1,1,1,100,100,100,100,100,TRUE,Y
K059636.000,951900300,T070119,"Bateson, Peter.","Bateson, Peter",Some papers relating to the general draining of marsh-land in the county of Norfolk: With Mr. Berner's objections and proposals. ... By Peter Bateson.,Some papers relating to the general draining of marsh-land in the county of Norfolk. With Mr. Berner's objections and proposals. ... By Peter Bateson.,1710,1710,23,23,1,1,1,1,100,100,100,100,100,TRUE,Y
K059868.000,384200300,T070421,Homer.,Homer,"Homer's Battle of the frogs and mice. With the remarks of Zoilus. To which is prefixed, the life of the said Zoilus","Homer's Battle of the frogs and mice. With the remarks of Zoilus. To which is prefix'd, the life of the said Zoilus.",1717,1717,115,115,1,1,1,1,100,100,100,100,100,TRUE,Y
K060288.000,962300900,T071048,"Okell, Benjamin.","Okell, Benjamin","A short treatise of the virtues of Dr. Bateman's pectoral drops: the nature of the distempers they cure, and the manner of their operation. Published by the King's letters patents under the Great Seal of Great Britain.","A short treatise of the virtues of Dr. Bateman's pectoral drops: the nature of the distempers they cure, and the manner of their operation. Publish'd by the King's letters patents under the Great Seal of Great Britain.",1726,1726,16,16,1,1,1,1,100,100,100,100,100,TRUE,Y
K060858.000,115300800,T071790,"Clive, Mrs. (Catherine), 1711-1785.","Clive, Mrs. (Catherine)",The case of Mrs. Clive submitted to the public,The case of Mrs. Clive submitted to the publick.,1744,1744,20,20,1,1,1,1,100,100,100,100,100,TRUE,Y
K063235.000,958700200,T075314,"Fern, Thomas.","Fern, Thomas","A perfect cure for the King's evil, (whether hereditary or accidental,) by effectual alcalious medicines: faithfully approved by the experience of eighteen years practice, and the testimony of above four hundred patients restored beyond relapse. By Thomas Fern","A perfect cure for the King's evil, (whether hereditary or accidental,) by effectual alcalious medicines: faithfully approv'd by the experience of eighteen years practice, and the testimony of above four hundred patients restor'd beyond relapse. By Thomas Fern Chirurgeon. P. S. Giving an exact Account also how He himself was perfectly cur'd by the same Medicines; after having languish'd Eleven Years under the same Distemper, and being given over at last, by several Eminent Physicians and Surgeons in London. Varia Hominum dona.",1709,1709,76,76,1,1,1,1,100,100,100,100,100,TRUE,Y
K064720.000,1193100600,T077871,"Reed, Joseph, 1723-1787.","Reed, Joseph","Madrigal and Trulletta. A mock-tragedy: Acted (under the direction of Mr. Cibber) at the Theater Royal in Covent Garden. With notes by the author, and Dr. Humbug, ... By J. Reed.","Madrigal and Trulletta. A mock-tragedy. Acted (under the direction of Mr. Cibber) at the Theatre-Royal in Covent-Garden. With notes by the author, and Dr. Humbug, Critick and Censor-General. By J. Reed.",1758,1758,72,72,1,1,1,1,100,100,100,100,100,TRUE,Y
K065730.000,2100400,T079466,Newcastle upon Tyne (England). Dispensary.,Newcastle upon Tyne (England). Dispensary,Proposals for recovering persons apparently dead by drowning and suffocation from other causes. Published by order of the Governors of the Dispensary,Proposals for recovering persons apparently dead by drowning and suffocation from other causes. Published by order of the Governors of the Dispensary.,1789,1789,16,16,1,1,1,1,100,100,100,100,100,TRUE,Y
K066841.000,758301200,T081552,"Cunningham, John, 1729-1773.","Cunningham, John",The contemplatist: a night piece. By J. Cunningham,The contemplatist: a night piece. By J. Cunningham.,1762,1762,16,16,1,1,1,1,100,100,100,100,100,TRUE,Y
K069966.000,26502300,T085839,"Dodington, George Bubb, Baron of Melcombe Regis, 1691-1762.","Dodington, George Bubb, Baron of Melcombe Regis","Occasional observations on a double-titled-paper, about the clear produce of the civil-list revenue, from midsummer 1727, to midsummer last","Occasional observations on a double-titled-paper, about the clear produce of the civil-list revenue, from midsummer 1727, to midsummer last.",1761,1761,30,30,1,1,1,1,100,100,100,100,100,TRUE,Y
K071504.000,968300300,T087986,"Atkins, John, 1685-1757.","Atkins, John","The lues venerea, rationally handled, in its original cause: with its cure. By J. A. surgeon.","The lues venerea, rationally handled, in its original cause: with its cure. By J. A. surgeon.",1730,1730,50,50,1,1,1,1,100,100,100,100,100,TRUE,Y
K071701.000,101701200,T088244,"Francis, Philip, Sir, 1740-1818.","Francis, Philip, Sir","Heads of Mr. Francis's speech, in the House of Commons, on the 7th of May, 1793, on Mr. Grey's motion for a reform in Parliament","Heads of Mr. Francis's speech, in the House of Commons, on the 7th of May, 1793, on Mr. Grey's motion for a reform in Parliament.",1793,1793,14,14,1,1,1,1,100,100,100,100,100,TRUE,Y
K071903.000,101701300,T088243,"Francis, Philip, Sir, 1740-1818.","Francis, Philip, Sir",The question as it stood in March 1798,The question as it stood in March 1798.,1798,1798,26,26,1,1,1,1,100,100,100,100,100,TRUE,Y
K072268.000,209900400,T088982,"Goldson, William.","Goldson, William","An extraordinary case of lacerated vagina, at the full period of gestation. With observations, tending to show that many cases related as ruptures of the uterus, have been lacerations of the vagina. By William Goldson,","An extraordinary case of lacerated vagina, at the full period of gestation. With observations, tending to show that many cases related as ruptures of the uterus, have been lacerations of the vagina. By William Goldson, Member of the Corporation of Surgeons in London.",1787,1787,75,75,1,1,1,1,100,100,100,100,100,TRUE,Y
K074174.000,886401000,T091434,"Francis, Philip, Sir, 1740-1818.","Francis, Philip, Sir","Letter from Mr. Francis to Lord North, late Earl of Guildford. With an appendix","Letter from Mr. Francis to Lord North, late Earl of Guildford. With an appendix.",1793,1793,109,109,1,1,1,1,100,100,100,100,100,TRUE,Y
K075688.000,29500600,T093735,"Morland, John, M.D.","Morland, John, M.D.","A rational account of the causes of chronic diseases: ... By John Morland, M.D.","A rational account of the causes of chronic diseases. Wherein a Natural, Easy, and Safe Way of Preventing, as Well as Curing, those Diseases, is Pointed Out; and the True Origin of the Hippocratic Method of Practice Briefly Explained. By John Morland, M.D.",1774,1774,50,50,1,1,1,1,100,100,100,100,100,TRUE,Y
K077663.000,857400100,T096443,"Donaldson, J. (John), 1737-1801.","Donaldson, J. (John)","The elements of beauty: Also, reflections on the harmony of sensibility and reason. By J. Donaldson.","The elements of beauty. Also, reflections on the harmony of sensibility and reason. By J. Donaldson.",1780,1780,115,115,1,1,1,1,100,100,100,100,100,TRUE,Y
K089881.000,6700700,T112246,"Crane, John, physician at Dorchester.","Crane, John, physician at Dorchester","An account of the nature, properties, and medicinal uses, of the mineral water at Nottington, near Weymouth, Dorset. By John Crane, ... With a view of the well, in it is present state","An account of the nature, properties, and medicinal uses, of the mineral water at Nottington, near Weymouth, Dorset. By John Crane, ... With a view of the well, in it's present state.",1780,1780,43,43,1,1,1,1,100,100,100,100,100,TRUE,Y
K089963.000,10201500,T112342,"Hamilton, Robert, 1749-1830.","Hamilton, Robert","Practical hints on opium considered as a poison: By R. Hamilton, ...","Practical hints on opium considered as a poison. By R. Hamilton, M. D. of the Royal College of Physicians, London; Member of the Royal Medical and Physical Societies of Edinburgh, and of the Medical Society, London.",1790,1790,46,46,1,1,1,1,100,100,100,100,100,TRUE,Y
K090132.000,10402200,T112540,"Burdon, Henry.","Burdon, Henry","The fountain of health: or, a view of nature. Wherein the causes of distempers, are philosophically explained: ... By Henry Burdon.","The fountain of health: or, a view of nature. Wherein the causes of distempers, are philosophically explain'd: With the true Rules for Practice, in several critical Symptoms, in both Acute and Chronical Diseases. By Henry Burdon.",1734,1734,67,67,1,1,1,1,100,100,100,100,100,TRUE,Y
