TCP,document_id,estc_id,tcp_author,ecco_author,tcp_title,ecco_title,tcp_year,ecco_year,tcp_pages,ecco_pages,tcp_volume_number,tcp_total_volumes,ecco_volume_number,ecco_total_volumes,author_score,title_score,year_score,pages_score,match_score,volume_match_found,correct
K000691.000,1241800700,N001125,"Fielding, Henry, 1707-1754.",Henry Fielding,"The coffee-house politician: or, the justice caught in his own trap. A comedy. As it is acted at the Theater Royal in Lincoln's End Fields. Written by Mr. Fielding.; Rape upon rape","The coffee-House politician; or, the justice caught in his own trap. A comedy. As it is acted at the Theatre-Royal in Lincoln's-Inn Fields. Written by Mr. Fielding.",1730,1730,84,84,1,1,1,1,57.143,58.696,100,100,66.413,TRUE,Y
K067205.000,811300400,T082160,"Darwin, Erasmus, 1731-1802.",Erasmus Darwin,"The botanic garden: a poem, in two parts. Part I. Containing the economy of vegetation. Part II. The loves of the plants. With philosophical notes.","The botanic garden; a poem, in two parts. Part I. Containing the economy of vegetation. Part II. The loves of the plants. With philosophical notes.",1791,1791,580,587,1,1,1,1,50,64.286,100,98.807,66.369,TRUE,Y
K022939.001,696500600,T071387,"Pope, Alexander, 1688-1744.","Monro, Alexander","The works of Alexander Pope Esquire. In nine volumes complete. With his last corrections, additions, and improvements; ... Together with the commentaries and notes of Mr. Warburton","The anatomy of the human bones and nerves. With an account of the reciprocal motions of the heart, and a description of the human lacteal sac and duct. Corrected and enlarged in the fifth edition. By Alexander Monro, Professor of Anatomy in the University of Edinburgh, and F. R. S.",1751,1750,575,434,1,1,1,1,75.862,47.368,98,75.478,66.341,TRUE,N
K013026.000,1329700500,T163261,"Perfect, William, 1737-1809.",William Perfect,"A remarkable case of madness: with the diet and medicines, used in the cure. By William Perfect, ...","A remarkable case of madness, with the diet and medicines. Used in the cure. By William Perfect, M.D. (of West-Malling, in Kent, and member of the London Medical Society.",1791,1791,61,61,1,1,1,1,46.667,66.667,100,100,66.333,TRUE,Y
K060958.001,201000401,T071899,"Chetwood, W. R. (William Rufus), d. 1766.",William Rufus Chetwood,"The voyages, travels and adventures, of William Owen Gwin Vaughan, Esquire: With the history of his brother Jonathan Vaughan, six years a slave in Tunis. Intermixed with the histories of Clerimont, Maria, Eleanora, and others. ...","The voyages, travels and adventures, of William Owen Gwin Vaughan, Esq; With the history of his brother Jonathan Vaughan, six years a slave in Tunis. Intermix'd with the histories of Clerimont, Maria, Eleanora, and others. Full of Various Turns of Fortune. ...",1736,1736,322,322,1,2,1,2,47.059,66.355,100,100,66.33,TRUE,Y
K060958.002,201000402,T071899,"Chetwood, W. R. (William Rufus), d. 1766.",William Rufus Chetwood,"The voyages, travels and adventures, of William Owen Gwin Vaughan, Esquire: With the history of his brother Jonathan Vaughan, six years a slave in Tunis. Intermixed with the histories of Clerimont, Maria, Eleanora, and others. ...","The voyages, travels and adventures, of William Owen Gwin Vaughan, Esq; With the history of his brother Jonathan Vaughan, six years a slave in Tunis. Intermix'd with the histories of Clerimont, Maria, Eleanora, and others. Full of Various Turns of Fortune. ...",1736,1736,297,297,2,2,2,2,47.059,66.355,100,100,66.33,TRUE,Y
K027796.001,601600300,T055933,"Homer.; Pope, Alexander, 1688-1744.","Monro, Alexander",The Odyssey of Homer; Odyssey. English,"The anatomy of the humane bones. By Alexander Monro, Professor of Anatomy in the University of Edinburgh, and F. R. S.",1725,1726,306,359,1,1,1,1,74.286,47.458,98,85.237,66.318,TRUE,N
K032221.000,279300900,T026761,"Jones, John Gale, 1769-1838.",John Gale Jones,"Observations on the tussis convulsiva: or hooping cough, as read at the Lyceum Medicum Londinense. ... By John Gale Jones.","Observations on the tussis convulsiva, or hooping cough, as read at the Lyceum Medicum Londinense. wherein the nature, cause, and cure of this disease are endeavoured to be demonstrated, and the practice of exhibiting emetics, shewn to be pernicious and useless. By John Gale Jones.",1794,1794,34,34,1,1,1,1,60,56.061,100,100,66.227,TRUE,Y
K070022.001,429000101,T085928,"Hume, David, 1711-1776.",David Hume,"The history of England: under the House of Tudor. ... By David Hume, Esquire; In two volumes. ...","The history of England, under the House of Tudor. Comprehending the reigns of K. Henry VII. K. Henry VIII. K Edward VI. Q. Mary, and Q. Elizabeth. By David Hume, Esq; In two volumes. ...",1759,1759,406,406,1,2,1,2,50,63.768,100,100,66.196,TRUE,Y
K070022.002,429000102,T085928,"Hume, David, 1711-1776.",David Hume,"The history of England: under the House of Tudor. ... By David Hume, Esquire; In two volumes. ...","The history of England, under the House of Tudor. Comprehending the reigns of K. Henry VII. K. Henry VIII. K Edward VI. Q. Mary, and Q. Elizabeth. By David Hume, Esq; In two volumes. ...",1759,1759,345,345,2,2,2,2,50,63.768,100,100,66.196,TRUE,Y
