PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
1105500300_000091,"An essay on the nature and immutability of truth, in opposition to sophistry and scepticism. By James Beattie, LL. D. Professor of Moral Philosophy and Logic in the Marischal College and University of Aberdeen.",James Beattie,52,1771,1,1,"Edinburgh : printed for A. Kincaid & J. Bell; and for E. & C. Dilly, in the Poultry, London, MDCCLXXI. [1771].",Edinburgh,594,male,1735,1803,False
0484400100_000054,Essays on rhetoric: abridged chiefly from Dr. Blair's Lectures on that science.,Hugh Blair,42,1787,1,1,"London : [pri]nted for J. Murray, NO 32, Fleet-Street, MDCCLXXXVII. [1787].",London,431,male,1718,1800,True
0991400104_000067,"The works of the late Right Honorable Henry St. John, Lord Viscount Bolingbroke. In five volumes, complete. Published by David Mallet, ...","Henry St John, 1st Viscount Bolingbroke",47,1754,4,5,"London : printed in the year, 1754.",London,634,male,1678,1751,True
0614300700_000002,"Rudiments of political science, part the first; containing elementary principles: with an appendix. By Angus Macaulay, A. M.","Macaulay, Angus           1796",53,1796,1,1,"London : printed for the author, and sold by Tho. Egerton, at the Military Library, Whitehall, 1796.",London,411,unknown,,,False
1033900100_000005,"An essay on the nature and immutability of truth, in opposition to sophistry and scepticism. By James Beattie, LL. D. Professor of Moral Philosophy and Logic in the Marischal College and University of Berdeen.",James Beattie,61,1777,1,1,"Edinburgh : printed for William Creech, Edinburgh; and for E. & C. Dilly, and T. Cadell, London, MDCCLXXVII. [1777].",Edinburgh,489,male,1735,1803,False
1015500300_000001,"The cratylus, Phædo, Parmenides and Timæus of Plato. Translated from the Greek by Thomas Taylor. With notes on the Cratylus, and an explanatory introduction to each dialogue.",Plato,41,1793,1,1,"London : printed for Benjamin and John White, Fleet-Street, M.DCC.XCIII. [1793].",London,570,male,426,347,False
0651500900_000081,"Lectures concerning oratory. Delivered in Trinity College, Dublin, by John Lawson, D.D. Lecturer in Oratory and History, on the Foundation of Erasmus Smith, Esquire.","Lawson, John",42,1758,1,1,"Dublin : printed by George Faulkner in Essex-Street, MDCCLVIII. [1758].",Dublin,486,male,1712,1759,False
0819600300_000037,"Illustrations of masonry. By William Preston, Past Master Of The Lodge Of Antiquity Acting BY Immemorial Constitution.",William Preston,56,1796,1,1,"London : printed for G. and T. Wilkie, NO 57, Paternoster-Row, MDCCXCVI. [1796].",London,442,male,1742,1818,False
0336200200_000052,Of the importance of religious opinions. Translated from the French of Mr. Necker.,Jacques Necker,61,1789,1,1,"Dublin : printed by M. Mills, NO. 36, Dorset-Street, for Messrs. White, Byrne, Wogan, and Jones, MDCCLXXXIX. [1789].",Dublin,311,male,1732,1804,False
0658602401_000004,A philosophical essay on man. Being an attempt to investigate the principles and laws of the reciprocal influence of the soul on the body. ...,Jean-Paul Marat,60,1773,1,2,"London : printed for J. Ridley, in St. James's Street; and T. Payne, at the Mews Gate, MDCCLXXIII. [1773].",London,279,male,1743,1793,True
0508700102_000106,"Elements of the philosophy of the human mind. By Dugald Stewart, ...",Dugald Stewart,54,1814,2,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh, 1792-1827.",London,564,male,1753,1828,False
0252400700_000045,"On the importance of religious opinions. From the French of Mons. Necker. A new translation, to which is prefixed a short account of the author.",Jacques Necker,48,1789,1,1,"Edinburgh : printed for W. Gordon and J. Dickson, M,DCC,LXXXIX. [1789].",Edinburgh,384,male,1732,1804,False
0197300200_000008,"Sermons on various subjects. By the late Rev. Benjamin Choyce Sowden, Of Emanuel College, Cambridge, and Minister of the English Episcopal Church at Amsterdam.",Benjamin Choyce Sowden,54,1798,1,1,"Bath : printed by S. Hazard: for Johnson, St. Paul's Church-Yard; and sold by Cadell and Davies, Strand; London: and by the booksellers in town and country, MDCCXCVIII. [1798].",Bath,438,male,,,False
0910100400_000003,"The whole works of the Right Honourable Duncan Forbes, Late Lord President of the Court of Session. Now first collected. Containing, I. A Letter to a Bishop; concerning some important Discoveries in Philosophy and Theology. II. Reflections on the Sources of Incredulity with regard to Religion. III. Thoughts on Religion, Natural and Revealed.","Duncan Forbes, Lord Culloden",61,1757,1,1,"Dublin : printed for William Williamson, Bookseller, at Mecaenas's Head in Bride-Street, MDCCLVII. [1757].",Dublin,307,male,1685,1747,False
0426900301_000052,"Liberal education: or, a practical treatise on the methods of acquiring useful and polite learning. By Vicesimus Knox, ... In two volumes. ... The tenth edition. To which is added, a letter to the Right Hon. Lord North, ...",Vicesimus Knox,56,1789,1,2,"London : printed for Charles Dilly, 1789.",London,408,male,1752,1821,True
0147801700_000052,"Philosophical reflexions and inquiries concerning the virtues of tar water, and divers other subjects connected together and arising one from another. By the Right Rev. Dr. George Berkley, Lord Bishop of Cloyne, And Author of The Minute Philosopher.",George Berkeley,51,1744,1,1,"London : printed for C. Hitch in Pater-Noster-Row; and C. Davis, against Gray's-Inn, Holbourn, MDCCXLIV. [1744].",London,176,male,1685,1753,True
0760000101_000095,"An ecclesiastical history, antient and modern, from the birth of Christ, ... By ... John Lawrence Mosheim, ... Translated from the original, and accompanied with notes and chronological tables, by Archibald Maclaine, ... In four volumes. ...",Johann Lorenz von Mosheim,57,1767,1,4,"Dublin : printed for Ann Leathley, 1767.",Dublin,579,male,1693,1755,False
0538100101_000011,"The complete dictionary of arts and sciences. In which the whole circle of human learning is explained, And the Difficulties attending the Acquisition of Every Art, Whether Liberal or Mechanical, are Removed, in the most easy and familiar manner. Among the various Branches of Literature explained in this Work are the following, viz. Agriculture Algebra Anatomy Architecture Arithmetic Astronomy Botany Catoptrics Chemistry Chronology Commerce Conics Cosmography Dialling Dioptrics Ethics Fluxions Fortification Gardening Gauging Geography Geometry Grammar Gunnery Handicrafts Heraldry History Horsemanship Husbandry Hydraulics Hydrography Hydrostatics Law Levelling Logic Maritime And Military Affairs Mathematics Mechanics Merchandize Metaphysics Meteorology Music Navigation Optics Painting Perspective Pharmacy Philology Philosophy Physic Pneumatics Rhetoric Sculpture Series Statics Statuary Surgery Surveying Theology, &c. The theological, philological, and critical branches, by the Rev. Temple Henry Croker, A. M. Chaplain to the Right Honourable the Earl of Hillsborough. The medicinal, anatomical, and chemical, by Thomas Williams, M. D. The mathematical by Samuel Clark, Author of an Easy Introduction to the Theory and Practice of Mechanics. and the other parts by several gentlemen particularly conversant in the Arts or Sciences they have undertaken to explain.","Williams, Thomas, M.D.",53,1764,1,3,"London : printed for the authors, and sold by J. Wilson & J. Fell, Pater-Noster Row; J. Fletcher & Co. St. Paul's Church-Yard; J. Coote, Pater-Noster Row; Mess. Fletcher & Hodson, Cambridge; and W. Smith & Co. Dublin, MDCCLXIV. [1764].",London,666,unknown,,,False
0664500101_000034,The rambler. In three volumes. ...,Samuel Johnson,44,1794,1,3,"London : printed for T. Longman, B. Law and Son, H. Baldwin, C. Dilly, G. G. and J. Robinson, T. Cadell, J. Nichols, F. and C. Rivington, W. Goldsmith, H. Murray, W. Otridge, W. Lowndes, S. Hayes, R. Faulder, G. and T. Wilkie, P. Macqueen, B. Collins, Hookham and Carpenter, Darton and Harvey, Vernor and Hood, Cadell jun. and Davies, and R. Jameson, MDCCXCIV. [1794].",London,469,male,1709,1784,True
0644400500_000005,"The principles of natural and revealed religion occasionally opened and explained; in a course of sermons preached before the Honourable Society of Lincoln's Inn. By the Rev. Mr. Warburton, Preacher to the Society.",William Warburton,54,1753,1,1,"Dublin : printed for G. and A. Ewing, at the Angel and Bible in Dame-Street, M,DCC,LIII. [1753].",Dublin,238,male,1698,1779,True
1092700103_000113,"The philosophical works of the late Right Honorable Henry St. John, Lord Viscount Bolingbroke. In five volumes. Published by David Mallet, Esq; ...","Henry St John, 1st Viscount Bolingbroke",73,1754,3,5,"London : [s.n.], Printed in the Year MDCCLIV. [1754].",London,428,male,1678,1751,True
0218801600_000001,An essay on Sir Isaac Newton's second law of motion. By the Reverend Mr. Ludlam.,William Ludlam,66,1780,1,1,"London : printed by R. Hett; and sold by T. Cadell, in the Strand, M.DCC.LXXX. [1780].",London,26,male,1717,1788,False
0048802300_000002,"An oration, in defence of Divine revelation; together with the valedictory addresses; delivered in the Baptist meeting-house, in Providence, at the commencement of Rhode-Island College, September 6, A.D. 1797. By Benjamin Allen, A.B. Published by request.",Rhode Island College (1764-1804),60,1797,1,1,"Providence : Printed by Carter and Wilkinson, and sold at their book-store, opposite the market, M,DCC,XCVII. [1797].",Providence,15,unknown,,,False
1729700101_000687,"A description of the empire of China and Chinese-Tartary, together with the kingdoms of Korea, and Tibet: containing the geography and history (natural as well as civil) of those countries. Enrich'd with general and particular maps, and adorned with a gread number of cuts. From the French of P.J.B. Du Halde, Jesuit: with Notes geographical, historical, and critical; and other improvements, particularly in the mpas, by the translator. In two volumes.","Du Halde, J.-B. (Jean-Baptiste)",52,1738,1,2,"London : printed by T. Gardner in Bartholomew-Close, for Edward Cave, at St. John's Gate, MDCCXXXVIII. [1738].",London,738,male,1674,1743,False
0255800400_000023,"An inquiry into the causes of the infidelity and scepticism of the times: with occasional observations on the writings of Herbert, Shaftesbury, Bolingbroke, Hume, Gibbon, Toulmin, &c. &c. By John Ogilvie, D.D.","Ogilvie, John",51,1783,1,1,"London : printed for Richardson and Urquhart, Front of the Exchange; and W. Gordon, W. Creech, and J. Dickson, Edinburgh, M,DCC,LXXXIII. [1783].",London,487,male,1732,1813,False
0147701100_000012,"Remarks on the new philosophy of Des-Cartes. In four parts. I. Of the principles of humane knowledge. II. Of the principles of material things. III. Of the principles, as they relate to the visible world. IV. Of the principles of the earth. By E. H. gent.","Howard, Edward",56,1701,1,1,"London : printed for T. Ballard, at the Rising-Sun in Little-Brittain, 1701.",London,400,unknown,,,False
0962900100_000035,"Essays on philosophical subjects. By the late Adam Smith, LL. D. Fellow of the Royal Societies of London and Edinburgh, &c. &c. To which is prefixed, An account of the life and writings of the author; by Dugald Stewart, F. R. S. E.",Adam Smith,60,1799,1,1,"Basil : printed for the editor of the Collection of English Classics, sold by James Decker Printer and Bookseller, 1799.",Basel,430,male,1723,1790,True
1105500300_000004,"An essay on the nature and immutability of truth, in opposition to sophistry and scepticism. By James Beattie, LL. D. Professor of Moral Philosophy and Logic in the Marischal College and University of Aberdeen.",James Beattie,65,1771,1,1,"Edinburgh : printed for A. Kincaid & J. Bell; and for E. & C. Dilly, in the Poultry, London, MDCCLXXI. [1771].",Edinburgh,594,male,1735,1803,False
0924300200_000018,"Three discourses: I. On the progress of religious and Christian knowledge. By William Enfield, LL.D. II. On religious zeal; with a comparative view of the protestant dissenters of the last and present age. By Richard Godwin. III. On the character, offices, and qualifications of the Christian preacher. By Philip Holland.","Holland, Philip",47,1780,1,1,"Warrington : printed by William Eyres, for J. Johnson, No. 72, St. Paul's Church-Yard, London, MDCCLXXX. [1780].",Warrington,256,male,1721,1789,False
0056100201_000030,"Sacred literature: shewing the holy scriptures to be superior to the most celebrated writings of antiquity, by the testimony of above five hundred witnesses, and also by a Comparison of their Several Kinds of Composition. In Twelve Books. To which are Added, Epistles and Extracts, from some of the Most Early of the Christian Fathers. The Whole Intended not only to recommend the Bible as superior to all other Books, but as a moral and theological Repository for Christians of every Rank and Degree. In four volumes. By the Revd. David Simpson, M.A.","Simpson, David",70,1788,1,4,"Birmingham : printed and sold by M. Swinney. Sold also by Dilly, Buckland, Matthews, Scollick, Trapp, London; Spence, York, Bulgin, Bristol; Clarke, Manchester; Bayley, Macclesfield; and all other booksellers in town and country, MDCCLXXXVIII. [1788].",Birmingham,581,male,1745,1799,False
0423500301_000035,Lectures on female education and manners. ... . By J. Burton.,"Burton, J. (John)",52,1793,1,2,"Rochester : printed for the author, by Gilman and Etherington, and sold by the booksellers in Kent, James Evans, No. 32, Pater-Noster-Row, and John Murray, Fleet-Street, London, 1793.",Rochester,242,male,1745,1806,False
0730200101_000359,The works of the Honourable Robert Boyle. In six volumes. To which is prefixed The life of the author. ...,Robert Boyle,65,1772,1,6,"London : printed for J. and F. Rivington, L. Davis, W. Johnston, S. Crowder, T. Payne, G. Kearsley, J. Robson, B. White, T. Becket and P. A. De Hondt, T. Davies, T. Cadell, Robinson and Roberts, Richardson and Richardson, J. Knox, W. Woodfall, J. Johnson, and T. Evans. MDCCLXXII. [1772].",London,1058,male,1627,1691,False
0934700700_000003,"At the Assize held at Huntingdon, Before Sir Wm. Henry Ashhurst, One of His Majesty's Justices of the Court of King's Bench, March 11, 1798, this sermon was preached, by George Laughton, D.D. One of his majesty's justices of the peace, and vicar of chippenham, Cambridgeshire.",George Laughton,54,1798,1,1,"Cambridge : printed by F. Hodson; sold by F. and C. Rivington, St. Paul's Church-Yard, and G. Wilkie, Paternoster-Row, London; and by J. Deighton, Cambridge, 1798.",Cambridge,35,male,1736,1800,False
0654300300_000012,"The new annual register, or general repository of history, politics, and literature, for the year 1794. To which is prefixed, the history of knowledge, learning, and taste, in Great Britain, during the reign of King James the First, part the second.",,71,1795,1,1,"London : printed for G.G. and J. Robinson, Pater-Noster-Row, MDCCXCV. [1795].",London,869,unknown,,,False
0784500700_000052,"Siris: a chain of philosophical reflexions and inquiries concerning the virtues of tar water, and divers other subjects ... By the Right Rev. Dr. George Berkeley, ...",George Berkeley,56,1744,1,1,"[London] : Dublin printed, London re-printed, for W. Innys, and C. Hitch; and C. Davis, 1744.",London,175,male,1685,1753,True
0740300108_000102,"The spectator. A new edition in eight volumes; with Illustrative Notes. To which are prefixed the lives of the authors, by Robert Bisset, A. M. ...",,46,1793,8,8,"London : printed for G. Robertson No 221, Piccadilly, J. Cuthell. No 24, Middle Row, Holborn, J. Lackington No 47 and 48 Chiswell Street Moorfields, and Messrs. Bell & Bradfute, Edinburgh, [1793-94].",London,361,unknown,,,False
0609901600_000030,A chinese fragment. Containing an enquiry into the present state of religion in England. With notes by the editor.,"Bates, Ely",45,1786,1,1,"London : printed by J. Davis, Chancery-Lane. For J. Strahan, No. 67. Strand; R. Faulder, Bond Street; and J. Johnson, St. Paul's Church-Yard, M,DCC,LXXXVI. [1786].",London,372,unknown,,,False
0102600501_000061,The lives of the English poets; and a criticism on their works. By Samuel Johnson.,Samuel Johnson,48,1779,1,3,"Dublin : printed for Messrs. Whitestone, Williams, Colles, Wilson, Lynch, Jenkin, Walker, Burnet, Hallhead, Flin, Exshaw, Beatty, and White, M,DCC,LXXIX. [1779].",Dublin,531,male,1709,1784,True
