PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
1476300129_000144,"The Parliamentary register; or, History of the proceedings and debates of the House of Commons; Containing an account of the most interesting speeches and motions; accurate copies of the most remarkable letters and papers; of the most material evidence, petitions, &c. laid before and offered to the House, during the first session of the fifteenth Parliament of Great Britain. Begun to be holden at Westminster on the 31st day of October 1780.",Great Britain. Parliament. House of Lords,53,1781,29,45,"London : Printed for J. Almon and J. Debrett, opposite Burlington-House, in Piccadilly, MDCCLXXXI. [1781].",London,698,unknown,,,False
1218700900_000001,"Slave trade. The negro and the free-born Briton compared; or, a vindication of the African slave trade. Proving that it is lawful and right, in a Religious, in a Political, and in a Commercial View. Interspersed with religious and critical digressions. Humbly addressed to the people of England, but more particularly to the legislature and to the Merchants, Planters, and others concerned in the West-India trade.",,67,1789,1,1,"London : printed for the author, and sold by J. Stockdale, Piccadilly; J. Strahan, in the Strand; M. Folingsby, No. 4, Fleet-Street; J. Johnson, St. Paul's Church-Yard; and W. Richardson, Royal Exchange, [1789?].",London,64,unknown,,,False
0446500200_000002,"An inquiry into the effects of putting a stop to the African slave trade, And of Granting Liberty to the Slaves in the British Sugar Colonies. By the Author of The Essay on the Treatment and Conversion of African Slaves in the British Sugar Colonies.",James Ramsay,50,1784,1,1,"London : printed and sold by James Phillips, in George-Yard, Lombard-Street, 1784.",London,43,male,1733,1789,False
0328002800_000040,"An answer to the Rev. Mr. Clarkson's essay on the slavery and commerce of the human species, particularly the African; in a series of letters, from a gentleman in Jamaica, to his friend in London: wherein many of the mistakes and misrepresentations of Mr. Clarkson are pointed out, Both With Regard To The Manner in which that Commerce is carried on in Africa, And The Treatment of the Slaves in the West Indies. Shewing, At The Same Time, The Antiquity, Universality, and Lawfulness of Slavery, as as ever having been one of the States and Conditions of Mankind. By G. Francklyn, Esq.","Francklyn, Gilbert",44,1789,1,1,"London : printed at the Logographic Press, and sold by J. Walter, No. 169, Opposite Bond Street, Piccadilly; C. Stalker, Stationer's Court, Ludgate Street; and W. Richardson, Under The Royal Exchange, M.DCC.LXXXIX. [1789].",London,274,unknown,,,False
1562800101_001486,"The universal dictionary of trade and commerce, translated from the French of the celebrated Mosieur Savary, Inspector-General of the manufactures for the King, at the Custom-House of Paris: with large additions and improvements, incorporated throughout the whole work; which more particularly accomodate the same to the trade and navigation of these kingdoms, and the laws, customs, and usages, to which all traders are subject. By Malachy Postlethwayt, Esq;",Malachy Postlethwayt,53,1757,1,2,"London : printed for John Knapton, in Ludgate-Street, M DCC LVII. [1757].",London,1069,male,1707,1767,False
0464001400_000007,"A letter from Capt. J. S. Smith to the Revd Mr Hill on the state of the Negroe slaves. To which are added An Introduction, and Remarks on Free Negroes, &c. By the Editor.","Smith, John Samuel",45,1786,1,1,"London : printed and sold by J. Phillips, in George-Yard, Lombard-Street, 1786.",London,54,male,,,False
1163900102_000030,"The history, civil and commercial, of the British colonies in the West Indies: in two volumes. By Bryan Edwards, ...",Bryan Edwards,43,1793,2,2,"London : printed for John Stockdale, 1793.",London,503,male,1743,1800,False
1232601200_000008,"A sermon on the subject of the slave trade; delivered to a society of Protestant dissenters, at the new meeting, in Birmingham; and published at their request. By Joseph Priestley, LL. D. F.R.S.",Joseph Priestley,45,1788,1,1,"Birmingham : printed for the author, by Pearson and Rollason; and sold by J. Johnson, No. 72, St. Paul's Church-Yard, London, MDCCLXXXVIII. [1788].",Birmingham,53,male,1733,1804,True
1476700144_000155,"The Parliamentary register; or, History of the proceedings and debates of the House of Commons; Containing an account of the most interesting speeches and motions; accurate copies of the most remarkable letters and papers; of the most material evidence, petitions, &c. laid before and offered to the House, during the first session of the fifteenth Parliament of Great Britain. Begun to be holden at Westminster on the 31st day of October 1780.",Great Britain. Parliament. House of Lords,44,1781,44,45,"London : Printed for J. Almon and J. Debrett, opposite Burlington-House, in Piccadilly, MDCCLXXXI. [1781].",London,849,unknown,,,False
1683800104_000080,"The new theological repository; consisting of original essays, ... extracts from valuable writings, ... sacred criticism, and notes upon ... scripture, ... reviews and new religious publications, with characters of celebrated persons: ...",[Coddington and Co.],33,1800,4,6,"Liverpool [England] : printed by Coddington and Ferguson; for W. JOnes, bookseller, Castle-Street. sold by West and Hughes, and R. Ogle, London; J. Guthrie, and J. Ogle, Edinburgh; and J. and A. Duncan, and M. Ogle, Glasgow, [1800-",Liverpool,349,unknown,,,False
