PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0634401400_000106,"Rhetoric; or, a view of its principal tropes and figures, in their origin and powers: with a Variety of Rules to escape Errors and Blemishes, and Attain Propriety and Elegance in Composition. By Thomas Gibbons, D.D.",Thomas Gibbons,13,1767,1,1,"London : printed by J. and W. Oliver in Bartholomew-Close; and sold by James Buckland and John Payne, both in Paternoster-Row, MDCCLXVII. [1767].",London,496,male,1720,1785,False
0081201101_000082,"The sacred classics defended and illustrated: or, an essay humbly offer'd towards proving the purity, propriety, and true eloquence of the writers of the New Testament. In the first of which those divine writings are vindicated against the charge of barbarous language, false Greek, and solecisms. In the second is shewn, that all the excellencies of style, and sublime beauties of language and genuine eloquence do abound in the sacred writers of the New Testament. With an account of their style and character, and a representation of their superiority, in several instances, to the best classics of Greece and Rome. To which are subjoin'd proper indexes. By A. Blackwall, M.A.",Anthony Blackwall,15,1737,1,2,"London : printed for C. Rivington, at the Bible and Crown in St. Paul's Chruch-yard, M.DCC.XXXVII. [1737].",London,336,male,1672,1730,False
0801400102_000020,"A collection of poems, in four volumes by several hands.","Pearch, G.",11,1775,2,4,"London : printed for G. Pearch, and sold by Joseph Johnson, St. Paul's Church-Yard, MDCCLXXV. [1775].",London,322,unknown,,,False
0465100600_000009,"Select lessons in prose and verse, from various authors, designed for the improvement of youth. To which are added, a few original pieces. By J. N.",J. N.,13,1798,1,1,"Bristol : printed by and for R. Edwards, Broad-Street, [1798].",Bristol,147,unknown,,,False
0390200600_000129,"A journey made in the summer of 1794, through Holland and the western frontier of Germany, with a Return down the Rhine: to which are added, observations during a tour to the lakes of Lancashire, Westmoreland, and Cumberland. By Ann Radcliffe.",Ann Radcliffe,15,1795,1,1,"Dublin : printed by William Porter, for P. Wogan, P. Byrne, H. Colbert, W. Porter, W. Jones, J. Rice, H. Fitzpatrick, and G. Folingsby. 1795.",Dublin,512,female,1764,1823,True
0423400600_000059,"The seasons, by James Thomson. A new edition. Adorned with a set of engravings, from original paintings. Together with an original life of the author, and a critical essay on the seasons. By Robert Heron.",James Thomson,14,1793,1,1,"Perth : printed by R. Morison junior, for R. Morison and Son, Booksellers, M,DCC,XCIII. [1793].",Perth,356,male,1700,1748,True
1104500200_000009,"Select lessons in prose and verse, from various authors designed for the improvement of youth. To which are added, a few original pieces. By J. N.",J. N.,14,1798,1,1,"[Bristol] : Printed by N. Biggs, St. Augustine's, for Emery & Adams, Bristol, 1798.",Bristol,149,unknown,,,False
0854100700_000011,"Three hundred hymns. By Thomas Spooner, Minister of the Gospel.","Spooner, Thomas           1762           fl. 1762",15,1762,1,1,"London : printed for E. Dilly, at the Rose and Crown in the Poultry, near the Mansion-House, MDCCLXII. [1762].",London,374,unknown,,,False
0089202402_000027,Noah. Attempted from the German of Mr. Bodmer. In twelve books. By Joseph Collyer. ...,Johann Jakob Bodmer,15,1767,2,2,"Dublin : printed for J. Murphy, J. Potts, D. Chamberlain, W. Sleater, J. Hoey, Jun. J. Mitchell, S. Watson, J. Williams, and W. Colles, M,DCC,LXVII. [1767].",Dublin,193,male,1698,1783,False
0628801001_000059,"American poems, selected and original. Vol. I.",,15,1793,1,1,"Litchfield [Conn.] : Printed by Collier and Buel. (The copy-right secured as the act directs.), [1793].",Litchfield,320,unknown,,,False
1572501400_000018,"The complaint: or, Right-thoughts on life, death, & immortality.",Edward Young,13,1743,1,1,"London : Printed for R. Dodsley, at Tully's Head in Pall-Mall; and sold by M. Cooper in Pater-noster-Row, M.DCC.XLIII. [1743].",London,280,male,1683,1765,True
0429701300_000047,"Critical observations on the writings of the most celebrated original geniuses in poetry. Being a sequel to the Essay on original genius. By W. Duff, A.M.","Duff, William",14,1770,1,1,"London : printed for T. Becket, and P. A. de Hondt, In The Strand, MDCCLXX. [1770].",London,373,male,1732,1815,False
1082200900_000006,"Reliquiæ juveniles. Miscellaneous thoughts, in prose and verse, on natural, moral, and divine subjects; written chiefly in younger years. By I. Watts, D.D.",Isaac Watts,12,1789,1,1,"London : printed for J. Buckland; T. Longman; T. Field; and C. Dilly, 1789.",London,287,male,1674,1748,True
0815900201_000026,"Meditations and contemplations. In two volumes. Containing, ... Meditations among the Tombs; Reflections on a Flower-Garden; And, A Descant on Creation. ... Contemplations on the Night; Contemplations on the Starry Heavens; And, A Winter-Piece. By James Hervey, A. M. Rector of Weston-Favell, in Northamptonshire. The tenth edition. ...",James Hervey,11,1753,1,2,"London : printed for John and James Rivington, at the Bible and Crown in St. Paul's Church-Yard; and J. Leake, at Bath, M.DCC.LIII. [1753].",London,324,male,1714,1758,True
0124600300_000044,"The truth of the Christian religion demonstrated both from reason and revelation, conformable to the doctrines of the Church of England, in twelve discourses, deliver'd at the parish-church of Kingston upon Thames, and at Petersham in the County of Surrey. With a collection of prayers for the use of private families.","Bellamy, Daniel",13,1744,1,1,"London : printed for the Author, and sold by R. Baldwin, in St. Paul's-Church-Yard, M.DCC.XLIV. [1744].",London,234,unknown,,,False
0247300302_000002,"The mysteries of Udolpho, a romance; interspersed with some pieces of poetry. By Ann Radcliffe, author of the romance of the forest, etc. In four volumes. ...",Ann Radcliffe,15,1794,2,4,"London : printed for G. G. and J. Robinson, Paternoster-Row, 1794.",London,480,female,1764,1823,True
0899100105_000017,The spectator. ...,,17,1750,5,8,"London : printed for J. and R. Tonson and S. Draper, [1750?].",London,317,unknown,,,False
0884701100_000020,"An essay on the picturesque, as compared with the sublime and the beautiful; and, on the use of studying pictures, for the purpose of improving real landscape, By Uvedale Price, Esq.",Uvedale Price,11,1794,1,1,"London : printed for J. Robson, New Bond-Street, M.DCC.XCIV. [1794].",London,303,male,1747,1829,True
0184700900_000020,"Alfred. An epick poem. In twelve books. Dedicated to the illustrious Prince Frederick of Hanover. By Sir Richard Blackmore, Kt. M. D.",Richard Blackmore,10,1723,1,1,"London : printed by W. Botham, for James Knapton, at the Crown in St. Paul's Church-Yard, MDCCXXIII. [1723].",London,511,male,1654,1729,True
0646900206_000026,A collection of poems in six volumes. By several hands.,Robert Dodsley,12,1763,6,6,"London : printed by J. Hughs, for R. and J. Dodsley, at Tully's-Head in Pall-Mall, MDCCLXIII. [1763].",London,338,male,1703,1764,True
1293000102_000020,"The spectator, complete in two volumes; with notes critical and explanatory. ...",,18,1800,2,2,"London : printed for Andrew Miller, Strand, 1800.",London,644,unknown,,,False
0143403000_000003,"An essay on the beauties and excellencies of painting, music and poetry. Pronounced at the anniversary commencement at Dartmouth College, A.D. 1774. by John Wheelock, A.M. Tutor of said college. Published at the desire of the audience.",John Wheelock,9,1775,1,1,"[Hanover, N.H.] : Hartford: printed by Eben. Watson, reprinted by C. Spear, Hanover, [1775?].",Hanover,9,male,1754,1817,False
0291500500_000057,"Strictures, critical and sentimental, on Thomson's seasons; with hints and observations on collateral subjects. By J. More.","More, John           1777           fl. 1777",12,1777,1,1,"London : printed for Richardson and Urquhart, Under the Royal Exchange, MDCCLXXVII. [1777].",London,287,unknown,,,False
0618500301_000040,The poetical works of James Thomson. In two volumes.,James Thomson,14,1784,1,2,"Glasgow : printed by Andrew Foulis, 1784.",Glasgow,285,male,1700,1748,True
0884100102_000032,"The iliad of Homer. Translated by Alexander Pope, Esq. A new edition, with additional notes, critical and illustrative, by Gilbert Wakefield, B.A. ...",Alexander Pope,10,1796,2,6,"London : printed by H. Baldwin: for T. Longman, B. Law, J. Johnson, C. Dilly, G. G. and J. Robinson, W. Otridge and Son, J. Nicholls, R. Baldwin, G. Nicol, F. and C. Rivington, Leigh and Sotheby, T. Payne, J. Walker, J. Clarke and Son, R. Faulder, Hookham and Carpenter, J. Scatcherd, B. and J. White, J. Edwards, Cadell and Davies, C. and G. Kearsley, and M. Pote, MDCCXCVI. [1796].",London,400,male,1688,1744,True
0310800602_000010,"The iliad of Homer. Translated by Alexander Pope, Esq; ...",Alexander Pope,10,1771,2,5,"London : printed for J. Whiston, Baker and Leigh, W. Strahan, T. Payne, J. and F. Rivington, T. Davies, Hawes Clarke and Collins, R. Horsfield, W. Johnston, B. White, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, R. Withy, T. Pote, Robinson and Roberts, T. Cadell, G. Pearch, R. Baldwin, C. Marsh, T. Becket, and Wilson and Nicol, MDCCLXXI. [1771].",London,299,male,1688,1744,True
0378901500_000037,"An introduction to the classics: containing a short discourse on their excellencies; and directions how to study them to advantage. With an essay on the nature and use of those emphatical and beautiful figures which give strength and ornament to writing. By Anthony Blackwall, M.A.",Anthony Blackwall,13,1737,1,1,"London : printed for C. Rivington, at the Bible and Crown in St. Paul's Church-Yard, M.DCC.XXXVII. [1737].",London,286,male,1672,1730,False
0604100100_000026,"A guide to the Lakes: dedicated to the lovers of landscape studies, and to all who have visited, or intend to visit the lakes in Cumberland, Westmorland, and Lancashire. By the author of The antiquities of Furness.","West, Thomas",26,1778,1,1,"London : printed for Richardson and Urquhart, under the Royal Exchange, and W. Pennington, Kendal, 1778.",London,205,male,,,False
1288000201_000045,"Poems on several subjects. In two volumes. By John Ogilvie, D.D. Vol. I.","Ogilvie, John",12,1769,1,2,"Dublin : printed for Samuel Watson, at Virgil's Head, in Dame-Street, M.DCC.LXIX. [1769].",Dublin,292,male,1732,1813,False
1429102403_000025,"Letters containing a sketch of the scenes which passed in various departments of France, During the tyranny of Roberspierre, and of the events which took place in Paris on the tenth of thermidor, By Helen Maria Williams. Vol III.",Helen Maria Williams,10,1795,3,3,"London : Printed for G.G. and J. Robinson, Paternoster-Row, 1795.",London,230,female,1762,1827,True
0406002000_000011,"The imperial epistle from Kien Long, Emperor of China, to George the Third, King Of Great Britain, &c. &c. &c. In the year 1794 transmitted from the emperor, and presented to His Britannick Majesty by his Excellency the Right Honourable George Earl Macartney of the Kingdom of Ireland, K. B. Ambassador Extraordinary and Plenipotentiary to the Emperor of China in the Years 1792, 1793, and 1794. Translated into English verse from the original Chinese poetry. With notes by various persons Of Eminence And Distinction, And BY The Translator.",Thomas James Mathias,9,1798,1,1,"London : printed for T. Becket, Pallmall, 1798.",London,39,male,1754,1835,False
0675000100_000011,"The imperial epistle from Kien Long, Emperor of China, to George the Third, King of Great Britain, &c. &c. &c. In the year 1794. Transmitted from the emperor, and presented to His Britannic Majesty by His Excellency the Right Honourable George Earl Macartney of the Kingdom of Ireland, K. B. Ambassador Extraordinary and Plenipotentiary to the emperor of China in the years 1792, 1793, and 1794. Translated into English verse from the original Chinese poetry. With notes by various persons of eminence and distinction, and by the translator. Ignotum rutulis carmen coeloque latino fingimus, et finem egressi legemque priorum.",Thomas James Mathias,9,1796,1,1,"London : printed for R. White, No. 173, Piccadilly, 1796.",London,40,male,1754,1835,False
0184400505_000031,A collection of poems in six volumes. By several hands.,Robert Dodsley,22,1758,5,6,"London : printed by J. Hughs, for R. and J. Dodsley, at Tully's-Head in Pall-Mall, MDCCLVIII. [1758].",London,338,male,1703,1764,True
0093100101_000080,"Romances, tales, and smaller pieces, of M. de Voltaire.",Voltaire,12,1794,1,2,"London : printed for P. Dodsley, 1794.",London,338,male,1694,1778,True
0247200100_000023,"Literary hours or sketches critical and narrative, by Nathan Drake, M. D.",Nathan Drake,17,1798,1,1,"Sudbury : printed by J. Burkitt. Sold by T. Cadell, junior, and W. Davies, Strand, London. 1798. Entered at Stationers' Hall, [1798].",Sudbury,532,male,1766,1836,False
1486300101_000174,"Paradise lost. A poem, in twelve books. The author John Milton. The eighth edition, with notes of various authors, by Thomas Newton, D.D. now Lord Bishop of Bristol.",John Milton,16,1775,1,2,"London : printed for J. Beecroft, W. Strahan, J. and F. Rivington, L. Davis, L. Hawes and W. Clarke and R. Collins, B. White, T. Caslon, S. Crowder, T. Longman, B. Law, E. and C. Dilly, J. Dodsley, C. Corbett, J.D. Cornish, T. Cadell, F. Newbery, E. Johnston, W. Nicoll, G. Robinson, R. Baldwin, T. Davies, J. Robson, T. Becket, J. Knox, W. Otridge, J. Ridley, T. Evans, and B. Collins, M.DCC.LXXV. [1775].",London,594,male,1608,1674,True
1143200600_000040,"The seasons, by James Thomson. To which is Prefixed the Life of the Author, by Patrick Murdoch, D. D. F. R. S.",James Thomson,15,1793,1,1,"London : printed for T. Longman, B. Law and Son, H. Baldwin, G. G. J. and J. Robinson, T. Cadell, R. Baldwin, F. and C. Rivington, G. and T. Wilkie, W. Goldsmith, T. Payne, Jun. Scatcherd and Whitaker, W. Lowndes, Ogilvy and Speare, W. Bent, and Hookham and Carpenter, MDCCXCIII. [1793].",London,275,male,1700,1748,True
1523700502_000020,"Interesting letters of Pope Clement XIV. (Ganganelli.) To which are prefixed, anecdotes of his life. Translated from the French edition published at Paris by Lottin, Jun. In two volumes.",Louis-Antoine Caraccioli,12,1777,2,2,"Dublin : printed for Messrs. Price, Whitestone, W. Sleater, W. Watson, R. Cross, Chamberlain, J. Potts, Wilkinson, Byrne, Burrowes, J. Hoey, Williams, W. Colles, W. Wilson, Armitagi, Walker, Jenkin, Wogan, Moncrieffe, Burnet, White, E. Cross, Flin, Mills, Higley, Exshaw, Mehain, Beatty, Talbot, Grueber, T. Kelly, and T.M'Donnell, M,DCC,LXXVII. [1777].",Dublin,241,male,1719,1803,False
0815900300_000022,A philosophical enquiry into the origin of our ideas of the sublime and beautiful.,Edmund Burke,18,1773,1,1,"London : printed for J. Dodsley, in Pall-Mall, MDCCLXXIII. [1773].",London,359,male,1729,1797,True
0561901901_000003,"The Messiah. Attempted from the German. Of Mr. Klopstock, ...",Friedrich Gottlieb Klopstock,17,1769,1,2,"London : printed for J. Collyer & sold by J. Dodsley, T. Caslon, and F. Newbery, 1769.",London,288,male,1724,1803,False
1175200600_000011,"A dissertation on the modern style of altering antient cathedrals, as exemplified in the Cathedral of Salisbury. By the Rev. John Milner, M. A. F. S. A.",John Milner,13,1798,1,1,"London : printed by and for J. Nichols, sold also by J. Pridden, No. 100, Fleet Street; J.P. Coghlan, Duke Street, Grosvenor Square; and J. and P. Robbins, at Winchester, 1798.",London,58,male,1752,1826,False
0685600201_000044,"The works of James Thomson, with his last corrections and improvements. To which is prefixed, an account of his life and writings. In two volumes. ...",James Thomson,15,1762,1,2,"London : printed for A. Millar, 1762.",London,502,male,1700,1748,True
0128002600_000021,The princess of Babylon. Translated from the French of M. de Voltaire.,Voltaire,12,1768,1,1,"London : printed for S. Bladon, in Pater-Noster-Row, MDCCLXVIII. [1768].",London,171,male,1694,1778,True
0833500300_000066,"The complaint: or, night-thoughts on life, death, and immortality. To which is added, A paraphrase on part of the Book of Job.",Edward Young,15,1773,1,1,"London : printed for J. and F. Rivington, W. Johnston, T. Longman, E. and C. Dilly, J. Dodsley, T. Cadell, and W. Otridge, M.DCC.LXXIII. [1773].",London,320,male,1683,1765,True
