Rank,Distance,Filename
1,1.0418178,K002071.000.00001.txt
2,1.0540627,K022115.001.00002.txt
3,1.0614179,K045928.000.00047.txt
4,1.0750654,K059867.003.00154.txt
5,1.0751942,K059867.003.00152.txt
6,1.0807524,K092353.001.00074.txt
7,1.0916996,K003643.003.00037.txt
8,1.0971055,K002914.000.00002.txt
9,1.0988735,K022115.003.00001.txt
10,1.0994568,K064766.000.00055.txt
11,1.1021339,K003643.002.00023.txt
12,1.1024646,K057664.000.00053.txt
13,1.1025305,K003643.003.00012.txt
14,1.110317,K001672.000.00116.txt
15,1.1121595,K111361.000.00207.txt
16,1.1151454,K020296.000.00036.txt
17,1.117158,K066629.002.00046.txt
18,1.119409,K064630.001.00114.txt
19,1.121772,K093174.006.00017.txt
20,1.1224304,K087079.000.00016.txt
21,1.1225864,K059867.003.00115.txt
22,1.1229091,K065341.000.00003.txt
23,1.1237125,K002914.000.00011.txt
24,1.1249158,K042183.000.00012.txt
25,1.1256208,K109292.001.00048.txt
26,1.1265322,K041358.000.00068.txt
27,1.1287425,K022979.000.00003.txt
28,1.1301618,K087079.000.00011.txt
29,1.1310351,K003643.002.00013.txt
30,1.1316143,K023079.000.00001.txt
31,1.1332473,K022123.000.00023.txt
32,1.1336808,K114808.000.00004.txt
33,1.1357791,K070362.001.00020.txt
34,1.1378927,K060980.000.00047.txt
35,1.1382351,K090734.000.00430.txt
36,1.1389314,K063128.000.00134.txt
37,1.1404172,K009363.000.00002.txt
38,1.1404977,K059833.000.00012.txt
39,1.1421502,K023052.000.00002.txt
40,1.1440135,K059867.003.00117.txt
41,1.1454867,K072426.000.00001.txt
42,1.1469796,K106472.002.00230.txt
43,1.1491022,K001672.000.00145.txt
44,1.1498243,K070844.001.00047.txt
45,1.1503603,K093660.005.00034.txt
46,1.151415,K089167.000.00084.txt
47,1.1518952,K035367.000.00018.txt
48,1.1529264,K022115.002.00127.txt
49,1.1535704,K022115.002.00006.txt
50,1.1540263,K097310.001.00004.txt
51,1.155005,K057530.001.00001.txt
52,1.1592392,K070844.001.00044.txt
53,1.1592698,K099473.000.00013.txt
54,1.1593432,K003643.001.00005.txt
55,1.1601889,K035367.000.00019.txt
56,1.1606702,K035616.001.00008.txt
57,1.1608338,K090734.000.00570.txt
58,1.1608553,K070844.002.00025.txt
59,1.1625144,K109292.002.00047.txt
60,1.1625628,K027775.000.00060.txt
61,1.1631546,K022135.000.00002.txt
62,1.1641934,K051036.000.00005.txt
63,1.1644356,K130649.000.00006.txt
64,1.1661868,K109292.002.00053.txt
65,1.166506,K114808.000.00175.txt
66,1.1668578,K110147.000.00257.txt
67,1.1674663,K043880.000.00045.txt
68,1.1690581,K006382.001.00170.txt
69,1.1697143,K001334.001.00066.txt
70,1.1699996,K073091.000.00001.txt
71,1.1703161,K113552.001.00064.txt
72,1.1703917,K042231.000.00008.txt
73,1.1706414,K022135.000.00001.txt
74,1.1706488,K070844.001.00027.txt
75,1.1712233,K108983.001.00011.txt
76,1.1716133,K003643.002.00025.txt
77,1.1719556,K086741.000.00084.txt
78,1.172815,K001672.000.00144.txt
79,1.1732707,K059833.000.00041.txt
80,1.1733998,K077983.000.00001.txt
81,1.1749609,K053219.000.00028.txt
82,1.1750369,K135809.000.00073.txt
83,1.1751891,K008295.005.00065.txt
84,1.1755981,K019244.000.00118.txt
85,1.1757803,K102171.000.00001.txt
86,1.1768148,K109292.002.00048.txt
87,1.1769556,K070362.001.00080.txt
88,1.1784554,K090734.000.00416.txt
89,1.1785185,K123147.000.00026.txt
90,1.1787044,K065341.000.00045.txt
91,1.1797,K070362.002.00071.txt
92,1.1798384,K003643.003.00006.txt
93,1.1803296,K057530.006.00003.txt
94,1.1808282,K059867.003.00116.txt
95,1.1809162,K111361.000.00206.txt
96,1.1811271,K088018.000.00090.txt
97,1.1821065,K071418.000.00072.txt
98,1.1822443,K001672.000.00122.txt
99,1.1825962,K088170.000.00053.txt
100,1.1829066,K059867.003.00066.txt
