solr_vol_id,original_filename,chunk_id,score
1602,K070362.002.txt,K070362.002.00009.txt,25.348919074320584
1602,K070362.002.txt,K070362.002.00056.txt,24.381724089260718
1601,K070362.001.txt,K070362.001.00017.txt,29.81992715033982
1601,K070362.001.txt,K070362.001.00136.txt,27.761656087482418
411,K022124.000.txt,K022124.000.00027.txt,35.64773536394237
411,K022124.000.txt,K022124.000.00005.txt,30.378679383884513
1819,K088018.000.txt,K088018.000.00064.txt,29.37493089787063
1819,K088018.000.txt,K088018.000.00044.txt,27.476667817713462
1732,K080051.000.txt,K080051.000.00020.txt,25.248247627251025
1732,K080051.000.txt,K080051.000.00019.txt,24.65979934994896
1244,K052994.001.txt,K052994.001.00013.txt,45.76294481631121
1244,K052994.001.txt,K052994.001.00014.txt,38.047874555619934
1475,K062844.000.txt,K062844.000.00101.txt,32.8233624510518
1475,K062844.000.txt,K062844.000.00037.txt,27.865228043010383
2402,K123147.000.txt,K123147.000.00003.txt,30.98218676847531
2402,K123147.000.txt,K123147.000.00046.txt,26.58187851662125
1392,K059867.003.txt,K059867.003.00107.txt,31.966323151460376
1392,K059867.003.txt,K059867.003.00117.txt,30.56854852489873
2225,K111900.000.txt,K111900.000.00001.txt,31.794319612276578
2225,K111900.000.txt,K111900.000.00023.txt,27.19451630621493
1536,K065853.000.txt,K065853.000.00040.txt,26.881178000404994
1536,K065853.000.txt,K065853.000.00032.txt,21.48796771920081
638,K030565.002.txt,K030565.002.00108.txt,31.647494197225765
638,K030565.002.txt,K030565.002.00059.txt,29.491476173582186
410,K022123.000.txt,K022123.000.00022.txt,32.23841520557905
410,K022123.000.txt,K022123.000.00072.txt,28.112230669880116
1060,K046614.000.txt,K046614.000.00034.txt,33.805830143673006
1060,K046614.000.txt,K046614.000.00037.txt,25.775413802880923
176,K008295.003.txt,K008295.003.00071.txt,24.478196571086254
176,K008295.003.txt,K008295.003.00019.txt,23.765779657871388
637,K030565.001.txt,K030565.001.00089.txt,39.68494103927349
637,K030565.001.txt,K030565.001.00136.txt,31.512665451269513
1926,K093930.000.txt,K093930.000.00055.txt,26.531104546185702
1926,K093930.000.txt,K093930.000.00137.txt,26.407870227890335
1826,K088839.000.txt,K088839.000.00109.txt,32.32247033781372
1826,K088839.000.txt,K088839.000.00102.txt,29.0197477893071
1825,K088831.000.txt,K088831.000.00254.txt,30.70679596953189
1825,K088831.000.txt,K088831.000.00085.txt,29.24895002193327
1811,K087079.000.txt,K087079.000.00231.txt,52.121325647745664
1811,K087079.000.txt,K087079.000.00001.txt,33.36832076885497
2060,K102183.002.txt,K102183.002.00149.txt,31.256718559763563
2060,K102183.002.txt,K102183.002.00161.txt,27.329719553443873
1837,K089849.002.txt,K089849.002.00196.txt,31.7747483004022
1837,K089849.002.txt,K089849.002.00109.txt,27.51379558360628
764,K036168.003.txt,K036168.003.00113.txt,30.124689741345758
764,K036168.003.txt,K036168.003.00111.txt,26.478696086403385
48,K001672.000.txt,K001672.000.00072.txt,30.737819379337505
48,K001672.000.txt,K001672.000.00123.txt,29.45917023181238
1820,K088170.000.txt,K088170.000.00055.txt,28.875381915892195
1820,K088170.000.txt,K088170.000.00007.txt,22.21501127083469
88,K003643.002.txt,K003643.002.00154.txt,30.12506054037027
88,K003643.002.txt,K003643.002.00141.txt,26.80929596467394
1523,K065082.002.txt,K065082.002.00216.txt,32.50067609014172
1523,K065082.002.txt,K065082.002.00165.txt,30.86798489725534
628,K030166.000.txt,K030166.000.00119.txt,27.11454499980854
628,K030166.000.txt,K030166.000.00006.txt,24.226053061758478
1522,K065082.001.txt,K065082.001.00035.txt,38.306610023554825
1522,K065082.001.txt,K065082.001.00200.txt,36.11963506086001
412,K022135.000.txt,K022135.000.00085.txt,30.25531260485606
412,K022135.000.txt,K022135.000.00107.txt,26.049056949779487
1284,K055619.001.txt,K055619.001.00156.txt,37.916552073266324
1284,K055619.001.txt,K055619.001.00228.txt,30.820113683768
1487,K063128.000.txt,K063128.000.00054.txt,29.139002474042314
1487,K063128.000.txt,K063128.000.00009.txt,28.41908391597878
177,K008295.004.txt,K008295.004.00018.txt,29.288528818130217
177,K008295.004.txt,K008295.004.00017.txt,26.467174174353627
1393,K059867.004.txt,K059867.004.00010.txt,26.129189739261424
1393,K059867.004.txt,K059867.004.00070.txt,25.81499076194182
734,K035616.001.txt,K035616.001.00008.txt,29.0781081701667
734,K035616.001.txt,K035616.001.00091.txt,26.059786652149057
87,K003643.001.txt,K003643.001.00021.txt,32.878965256724925
87,K003643.001.txt,K003643.001.00007.txt,30.50885084778692
1647,K074107.002.txt,K074107.002.00193.txt,34.814098934611934
1647,K074107.002.txt,K074107.002.00200.txt,33.07534246862455
89,K003643.003.txt,K003643.003.00014.txt,40.48891660819963
89,K003643.003.txt,K003643.003.00021.txt,36.52459907831377
1609,K071418.000.txt,K071418.000.00067.txt,29.19074511141906
