PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0385200901_000004,"Sacred history selected from the Scriptures, with annotations and reflections, suited to the comprehension of young minds: ... By Mrs. Trimmer, ...",Sarah Trimmer,36,1782,1,6,"London : printed for J. Dodsley; T. Longman and G. Robinson; and J. Johnson, 1782-85.",London,483,female,1741,1810,True
0857501100_000003,"Madam Johnson's present: or, every young woman's companion, in useful and universal Knowledge. Digested under the following Heads: I. Spelling, Reading, Writing, and Arithmetick, taught without the Help of a Master. II. The Compleat Market-Woman. III. The Cook's Guide for dressing all Sorts of Flesh, Fowl and Fish. IV. For Pickling, Pastry, and Confectionary. V. An Estimate of the Expences of a Family in the middling Station of Life. VI. The Art and Terms of Carving Fish, Fowl, and Flesh. Vii. A Bill of Fare for every Month in the Year for Dinner, Supper, and also for extraordinary Occasions. Viii. The Young Woman's Instructor for the right Spelling of Words used in Marketting, Cookery, Pickling, Preserving, &c. &c. &c. To this edition are added, some plain and necessary directions to maid-servants in general, and several useful tables: Which renders it the Completest Book of the Kind ever published. The Compiler, Madam Johnson, in order to make this Book come as cheap as possible to the Purchasers, has, out of her Benevolence, fixed the Price at 1 s. 6 d. Bound; though it contains double the Quantity that is usually sold for that Sum.","Johnson, Mary",50,1766,1,1,"London : printed for W. Nicoll, in St. Paul's Church-Yard, MDCCLXVI. [1766].",London,217,female,,,False
0391200700_000035,"Poems and essays, by the late Miss Bowdler.",Jane Bowdler,49,1798,1,1,"Bath : printed by R. Cruttwell; and sold by C. Dilly, Poultry, J. Robson and T. Hookham, New Bond-Street, London; and N. R. Cheyne, Edinburgh, MDCCXCVIII. [1798].",Bath,241,female,1743,1784,False
0737200600_000002,"Poems, on several occasions. By Ann Yearsley, a Milkwoman of Bristol.",Ann Yearsley,30,1785,1,1,"London : printed for T. Cadell, in the Strand, MDCCLXXXV. [1785].",London,148,female,1756,1806,True
0631300200_000012,An estimate of the religion of the fashionable world. By one of the laity.,Hannah More,37,1791,1,1,"London : printed for T. Cadell, in the Strand, M.DCC.XCI. [1791].",London,270,female,1745,1833,True
0271300600_000022,"A packet for youth, or evidences of Christianity drawn from the mind. By a lady.","M. P., Lady",35,1799,1,1,"Hanley : printed and sold by Mort; also by Knott, Lombard Street, Chapman, Fleet Street, Heptinstall, Holborn, London, ---- Chester, Newcastle, ---- Jones, Birmingham, ---- Pritchard, Derby, ---- Smith, Sheffield, Boden, Manchester ; and may be had of all Booksellers, [1799].",Hanley,122,female,,,False
0438802100_000001,"Reliques of Irish poetry: consisting of heroic poems, odes, elegies, and songs, translated into English verse: with notes explanatory and historical; and the originals in the Irish character. To which is subjoined an Irish tale. By Miss Brooke.",Charlotte Brooke,31,1789,1,1,"[Dublin] : George Bonham, printer, South Great George's-Street, Dublin, M.DCC.LXXXIX. [1789].",Dublin,370,female,1740,1793,False
0218202900_000003,"The pupil of nature; or candid advice to the fair sex, on the subjects of pregnancy; childbirth; the diseases incident to both; the fatal effects of ignorance and quackery; and the most approved means of promoting the health, strength, and beauty of their offspring. By Martha Mears, Practitioner in Midwifery.","Mears, Martha",52,1797,1,1,"London : printed for the authoress, and sold at her house, No. 12, Red Lion Square; as also by Faulder, New Bond-Street; and Murray and Highly, Fleet-Street, 1797.",London,175,female,,,False
0403500100_000011,An estimate of the religion of the fashionable world. By one of the laity.,Hannah More,32,1791,1,1,"London : printed for T. Cadell, in the Strand, M.DCC.XCI. [1791].",London,269,female,1745,1833,True
0343200202_000029,"Religion considered as the only basis of happiness and of true philosophy. A work written for the instruction of the children of his most serene highness the Duke of Orleans; ... By Madame the Marchioness of Sillery, ... In two volumes.",Stéphanie Félicité du Crest de Saint-Aubin,46,1787,2,2,"Dublin : printed by William Porter, for H. Chamberlaine, White, Byrne, Colbert, W. Porter, and Moore, 1787.",Dublin,151,female,1746,1830,True
