PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0300300901_000063,"The recess; or, a tale of other times. By the author of The chapter of accidents. ``are not these Woods ``more free from peril than the envious Court? ``here feel we but the penalty of Adam ``the seasons' difference.'' ...",Sophia Lee,6,1786,1,2,"Dublin : printed for Messrs. G. Burnet, R. Moncrieffe, J. Exshaw, J. Beatty, L. White, P. Byrne, S. Colbert, H. Whitestone, W. Sleater, J. Cash, R. Marchbank, T. Heary, and J. Moore, M,DCC,LXXXVI. [1786].",Dublin,302,female,1750,1824,True
0247300302_000005,"The mysteries of Udolpho, a romance; interspersed with some pieces of poetry. By Ann Radcliffe, author of the romance of the forest, etc. In four volumes. ...",Ann Radcliffe,8,1794,2,4,"London : printed for G. G. and J. Robinson, Paternoster-Row, 1794.",London,480,female,1764,1823,True
0023600103_000018,"The romance of the forest: interspersed with some pieces of poetry. In three volumes. ... . The fourth edition. By Ann Radcliffe, author of ``a Sicilian Romance,'' &c.",Ann Radcliffe,9,1794,3,3,"London : printed for T. Hookham and J. Carpenter, new and old Bond Street, M,DCC,XCIV. [1794].",London,352,female,1764,1823,True
1622600104_000004,"Tales of the castle: Or, Stories of instruction and delight being Les veilles du Chateau, written in French by Madame la Comtesse de Genlis, author of the Theatre of education, Adela and Theodore, &c. Translated into English by Thomas Holcroft.",Stéphanie Félicité du Crest de Saint-Aubin,9,1789,4,4,"Dublin : Printed for Messrs. Moncrieffe, Walker, White, Byrne, and Parker, MDCCLXXXIX. [1789].",Dublin,294,female,1746,1830,True
0483700100_000067,"Letters of the Right Honourable Lady M--y W--y M---e: written during her travels in Europe, Asia, and Africa, To Persons of Distinction, Men of Letters, &c. in different Parts of Europe. Which Contain Among Other Curious Relations, Accounts of the Policy and Manners of the Turks; Drawn from Sources that have been inaccessable to other Travellers.",Lady Mary Wortley Montagu,10,1794,1,1,"London : printed for the booksellers, M.DCCXCIV. [1794].",London,283,female,1689,1762,True
0536800300_000080,"Plays, and poems; by Miss Hannah Brand.",Hannah Brand,6,1798,1,1,"Norwich : printed by Beatniffe and Payne; and sold by Messrs. F. and C. Rivington, St. Paul's Church-Yard; and Messrs. Elmsley and Bremner, in the Strand, London, 1798.",Norwich,433,female,1754,1821,True
1519000501_000002,"Elegiac sonnets, and other poems, By Charlotte Smith.",Charlotte Turner Smith,8,1800,1,1,"London : Printed for T. Cadell, Junior, and W. Davies, in the Strand; by R. Noble, Shire-Lane, 1800.",London,155,female,1749,1806,True
1007800100_000024,Dialogues of the dead. By George Lord Lyttleton. [sic].,Elizabeth Montagu,10,1795,1,1,"London : printed for J. Walker, 1795.",London,98,female,1720,1800,False
1620200201_000072,Montalbert. A novel. By Charlotte Smith. In two volumes.,Charlotte Turner Smith,7,1795,1,2,"Dublin : printed for P. Wogan, P. Byrne, W. Jones, J. Rice, J. Moore, W. Porter, H. Colbert, H. Fitzpatrick, G. Folingsby, 1795.",Dublin,288,female,1749,1806,True
0516600500_000027,Otho and Rutha: a dramatic tale. By Miss Edwards.,"Edwards, Miss",8,1780,1,1,"Edinburgh : printed, by Murray & Cochran, for, and sold by, the author. Sold also by Mr Elliot, and other booksellers, MDCCLXXX. [1780].",Edinburgh,277,female,,,False
0429500500_000022,"Sacred dramas; chiefly intended for young persons: The Subjects Taken From The Bible. To which is added, Sensibility, a poem. By Miss Hannah More.",Hannah More,10,1784,1,1,"Dublin : printed by P. Byrne, No. 35, College-Green, M,DCC,LXXXIV. [1784].",Dublin,284,female,1745,1833,True
